"id","name","screen_name","statuses_count","followers_count","friends_count","favourites_count","listed_count","url","lang","time_zone","location","default_profile","default_profile_image","geo_enabled","profile_image_url","profile_banner_url","profile_use_background_image","profile_background_image_url_https","profile_text_color","profile_image_url_https","profile_sidebar_border_color","profile_background_tile","profile_sidebar_fill_color","profile_background_image_url","profile_background_color","profile_link_color","utc_offset","is_translator","follow_request_sent","protected","verified","notifications","description","contributors_enabled","following","created_at","timestamp","crawled_at","updated","test_set_1","test_set_2"
"1502026416","TASUKU HAYAKAWA","0918Bask","2177","208","332","265","1",,"ja",,"Tokyo .Japan .",,,"1","http://pbs.twimg.com/profile_images/588733186361790464/tRM6DS5f_normal.jpg","https://pbs.twimg.com/profile_banners/1502026416/1412518148",,"https://abs.twimg.com/images/themes/theme1/bg.png","000000","https://pbs.twimg.com/profile_images/588733186361790464/tRM6DS5f_normal.jpg","000000",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","000000","EB0C1F",,,,,,,"15years ago X.Lines24",,,"Tue Jun 11 11:20:35 +0000 2013","2013-06-11 13:20:35","2015-05-02 06:41:46","2016-03-15 15:53:47","0","0"
"2492782375","ro_or","1120Roll","2660","330","485","3972","5",,"ja","Tokyo","神奈川県横浜市","1",,"1","http://pbs.twimg.com/profile_images/573744292872650752/kEeHYhaG_normal.jpeg","https://pbs.twimg.com/profile_banners/2492782375/1425626274","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/573744292872650752/kEeHYhaG_normal.jpeg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4","32400",,,,,,"保守見習い地元大好き人間。 経済学、電工、仏教を勉強中、ちなDeではいかんのか？ (*^◯^*)",,,"Tue May 13 10:37:57 +0000 2014","2014-05-13 12:37:57","2015-05-01 17:20:27","2016-03-15 15:53:48","0","0"
"293212315","bearclaw","14KBBrown","1254","166","177","1185","0",,"en","Eastern Time (US & Canada)",,,,,"http://pbs.twimg.com/profile_images/590859724251213824/T9wPasfn_normal.jpg","https://pbs.twimg.com/profile_banners/293212315/1429746778","1","https://pbs.twimg.com/profile_background_images/518031768/rainbow-damask.jpg","0F9A89","https://pbs.twimg.com/profile_images/590859724251213824/T9wPasfn_normal.jpg","EED96D","1","EED96D","http://pbs.twimg.com/profile_background_images/518031768/rainbow-damask.jpg","E63A50","E63A50","-14400",,,,,,"Let me see what your best move is!",,,"Wed May 04 23:30:37 +0000 2011","2011-05-05 01:30:37","2015-05-01 18:48:28","2016-03-15 15:53:48","0","0"
"191839658","pocahontas farida","wadespeters","202968","2248","981","60304","101","http://t.co/rGV0HIJGsu","en","Greenland","#freePalestine - rip paul",,,"1","http://pbs.twimg.com/profile_images/591597924901134337/vemg4ghB_normal.png","https://pbs.twimg.com/profile_banners/191839658/1430155579","1","https://abs.twimg.com/images/themes/theme3/bg.gif","634047","https://pbs.twimg.com/profile_images/591597924901134337/vemg4ghB_normal.png","D3D2CF",,"E3E2DE","http://abs.twimg.com/images/themes/theme3/bg.gif","EDECE9","088253","-7200",,,,,,"20. menna: #farida #nyc and the 80s actually you | Dragana",,,"Fri Sep 17 14:02:10 +0000 2010","2010-09-17 16:02:10","2015-05-01 13:55:16","2016-03-15 15:53:48","0","0"
"3020965143","Ms Kathy","191a5bd05da04dc","82","21","79","5","0",,"en",,"Wichita KS","1",,,"http://pbs.twimg.com/profile_images/563551102671392768/Fp1bIx0v_normal.jpeg",NULL,"1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/563551102671392768/Fp1bIx0v_normal.jpeg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,"Cosmetologist",,,"Fri Feb 06 04:10:49 +0000 2015","2015-02-06 05:10:49","2015-05-02 01:17:32","2016-03-15 15:53:48","0","0"
"2157382005","JO","19_Joanne_87","12915","641","1066","1568","7",,"en","Central Time (US & Canada)",,,,,"http://pbs.twimg.com/profile_images/593923835851747329/Z7d-9dSt_normal.jpg","https://pbs.twimg.com/profile_banners/2157382005/1430329067",,"https://abs.twimg.com/images/themes/theme1/bg.png","000000","https://pbs.twimg.com/profile_images/593923835851747329/Z7d-9dSt_normal.jpg","000000",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","000000","9266CC","-18000",,,,,,"CHRISTIAN -Communication degree -graphic designer- makeup artist-pianist- FANGIRL: #Castle #EDBWK2MnNAA #AgentsOfShield #ESDLC #ChasingLife #SavingHope",,,"Mon Oct 28 16:08:18 +0000 2013","2013-10-28 17:08:18","2015-05-01 13:46:12","2016-03-15 15:53:49","0","0"
"1947320929","❄McKayla❄","1Dniallprincess","13676","1042","2000","19012","7",,"en",,"Alaska XD","1",,"1","http://pbs.twimg.com/profile_images/583746254061961216/UevLDA62_normal.jpg","https://pbs.twimg.com/profile_banners/1947320929/1427101823","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/583746254061961216/UevLDA62_normal.jpg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,"Live, Young, Wild and Free #crazymofo",,,"Tue Oct 08 15:59:30 +0000 2013","2013-10-08 17:59:30","2015-05-01 13:35:33","2016-03-15 15:53:49","0","0"
"255846106","Giselle","1GisellePizarro","61294","561","118","590","4","https://t.co/v4qQQ0XDjd","es","Santiago","Antofagasta, Chile",,,"1","http://pbs.twimg.com/profile_images/473648034941661184/GcyGtMfH_normal.jpeg","https://pbs.twimg.com/profile_banners/255846106/1396065298","1","https://pbs.twimg.com/profile_background_images/449758850023833600/x44ZQEvB.jpeg","333333","https://pbs.twimg.com/profile_images/473648034941661184/GcyGtMfH_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/449758850023833600/x44ZQEvB.jpeg","C0DEED","0084B4","-14400",,,,,,"Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11)",,,"Tue Feb 22 04:37:34 +0000 2011","2011-02-22 05:37:34","2015-05-01 16:46:13","2016-03-15 15:53:49","0","0"
"1733095801","Nicole Romany","1Nicoleromany","4854","337","256","1407","4",,"en",,,"1",,"1","http://pbs.twimg.com/profile_images/583117317040533504/_l4AeZgF_normal.jpg","https://pbs.twimg.com/profile_banners/1733095801/1378505081","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/583117317040533504/_l4AeZgF_normal.jpg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,,,,"Thu Sep 05 20:52:02 +0000 2013","2013-09-05 22:52:02","2015-05-01 13:16:34","2016-03-15 15:53:50","0","0"
"1336097480","Fallen Angel","1_DErika","2408","421","338","2227","5",,"en","Beijing",,"1",,"1","http://pbs.twimg.com/profile_images/592666095586258944/-cCXlDjp_normal.jpg","https://pbs.twimg.com/profile_banners/1336097480/1427633846","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/592666095586258944/-cCXlDjp_normal.jpg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4","28800",,,,,,"I am not a perfect angel that you think you see. #Directioner #KatyCat #Mixer",,,"Mon Apr 08 08:37:42 +0000 2013","2013-04-08 10:37:42","2015-05-02 03:39:39","2016-03-15 15:53:50","0","0"
